Folders,Notes,WorkingSize,BackupSize
camels_01586610_11688538,NotDELETED_Backup_Not_Same_Size,327183072,243077825
camels_08014500_15078398,KEEP_FOLDER,NA,NA
camels_08175000_1623207,NotDELETED_Backup_Not_Same_Size,1434401339,2873041243
camels_12040500_23844955,NotDELETED_Backup_Not_Same_Size,2173981809,2080603645
camels_06447500_20179529,NotDELETED_Backup_Not_Same_Size,794696800,1604026509
camels_11151300_8205487,NotDELETED_Backup_Not_Same_Size,1162767709,1045192306
camels_05592575_13869098,NotDELETED_Backup_Not_Same_Size,246611396,393875993
camels_06477500_12664828,NotDELETED_Backup_Not_Same_Size,876579449,1676420521
camels_02102908_8849951,NotDELETED_Backup_Not_Same_Size,2083974002,2145554115
camels_08271000_17863078,NotDELETED_Backup_Not_Same_Size,168366403,221051575
camels_12175500_24255219,NotDELETED_Backup_Not_Same_Size,410540564,718088939
camels_08023080_9533087,KEEP_FOLDER,NA,NA
camels_03604000_19504798,NotDELETED_Backup_Not_Same_Size,2406199357,2319351106
camels_04027000_1815879,NotDELETED_Backup_Not_Same_Size,2882365595,2808023213
camels_07167500_21517052,NotDELETED_Backup_Not_Same_Size,504161183,1185928045
camels_01667500_8467225,NotDELETED_Backup_Not_Same_Size,2258077859,4473682367
camels_02297310_16807511,NotDELETED_Backup_Not_Same_Size,910007868,1272233575
camels_01169000_10294784,NotDELETED_Backup_Not_Same_Size,626064809,2155440683
camels_06885500_2277053,KEEP_FOLDER,NA,NA
camels_01181000_6096297,NotDELETED_Backup_Not_Same_Size,626222831,2141436031
camels_11475560_8287590,NotDELETED_Backup_Not_Same_Size,247241327,112760527
camels_08158810_5781401,NotDELETED_Backup_Not_Same_Size,626215262,663828315
camels_09047700_1314083,NotDELETED_Backup_Not_Same_Size,81423187,96277381
camels_12147500_23970779,NotDELETED_Backup_Not_Same_Size,275004163,440684050
camels_06344600_16233369,NotDELETED_Backup_Not_Same_Size,615574172,1141144073
camels_01516500_8112305,KEEP_FOLDER,NA,NA
camels_02118500_9233605,NotDELETED_Backup_Not_Same_Size,910204893,1502574459
HUC12,NotDELETED_Backup_Not_Same_Size,491128150,492418390
camels_02015700_8520749,NotDELETED_Backup_Not_Same_Size,464443367,608812870
camels_14306340_23887140,NotDELETED_Backup_Not_Same_Size,128051696,142390130
camels_12375900_24356439,NotDELETED_Backup_Not_Same_Size,631908762,667189940
camels_05362000_12981697,NotDELETED_Backup_Not_Same_Size,2448961268,2363830793
camels_12117000_24537924,KEEP_FOLDER,NA,NA
camels_05592050_13771802,NotDELETED_Backup_Not_Same_Size,408535963,697668836
camels_02081500_8760623,NotDELETED_Backup_Not_Same_Size,961708075,1602037034
camels_01415000_1748589,KEEP_FOLDER,NA,NA
camels_02372250_2323396,NotDELETED_Backup_Not_Same_Size,3353346707,4710112297
camels_04057510_272589,NotDELETED_Backup_Not_Same_Size,719744083,591458298
camels_05508805_4867221,NotDELETED_Backup_Not_Same_Size,1423854456,1315628389
camels_14236200_24249034,NotDELETED_Backup_Not_Same_Size,464112968,828385556
camels_07263295_22846153,KEEP_FOLDER,NA,NA
camels_12144000_23970271,NotDELETED_Backup_Not_Same_Size,383824918,672457124
camels_14020000_23648622,KEEP_FOLDER,NA,NA
camels_14400000_23949601,NotDELETED_Backup_Not_Same_Size,499307238,1318127163
camels_04221000_15550135,NotDELETED_Backup_Not_Same_Size,1482614222,1374541788
camels_09386900_20572245,NotDELETED_Backup_Not_Same_Size,542572804,410364642
camels_03340800_10207857,NotDELETED_Backup_Not_Same_Size,530147320,431920160
camels_11482500_8315607,KEEP_FOLDER,NA,NA
camels_07291000_19115892,KEEP_FOLDER,NA,NA
camels_02479560_18094981,NotDELETED_Backup_Not_Same_Size,2821644099,2743317007
camels_01639500_8449082,NotDELETED_Backup_Not_Same_Size,712927774,1145803635
camels_08194200_10634531,NotDELETED_Backup_Not_Same_Size,1375890943,2686499359
camels_02245500_16662855,NotDELETED_Backup_Not_Same_Size,685009813,846083716
camels_07301410_13754363,KEEP_FOLDER,NA,NA
camels_03346000_10337448,NotDELETED_Backup_Not_Same_Size,1008151181,949503879
camels_01434025_4147946,NotDELETED_Backup_Not_Same_Size,75216751,98688468
camels_01550000_8152817,KEEP_FOLDER,NA,NA
camels_06803530_17399459,KEEP_FOLDER,NA,NA
camels_11266500_21609641,KEEP_FOLDER,NA,NA
camels_05593900_13881906,NotDELETED_Backup_Not_Same_Size,332592457,561386900
camels_04059500_6860182,NotDELETED_Backup_Not_Same_Size,1341956236,1229517441
camels_11468500_2665525,KEEP_FOLDER,NA,NA
camels_12082500_24282122,NotDELETED_Backup_Not_Same_Size,481850729,865049744
camels_02065500_8648830,NotDELETED_Backup_Not_Same_Size,703390050,1061294833
camels_06470800_11468868,NotDELETED_Backup_Not_Same_Size,525785667,956784618
camels_02014000_8525619,NotDELETED_Backup_Not_Same_Size,1205390283,1796741609
camels_01414500_1748611,NotDELETED_Backup_Not_Same_Size,246711079,128682813
camels_04024430_1799897,NotDELETED_Backup_Not_Same_Size,1814841895,2854366209
camels_03180500_12103826,NotDELETED_Backup_Not_Same_Size,319036611,853552055
camels_02198100_9978327,NotDELETED_Backup_Not_Same_Size,349247070,221526090
camels_04197170_15612196,KEEP_FOLDER,NA,NA
camels_02028500_8547459,NotDELETED_Backup_Not_Same_Size,572921246,806737626
camels_08150800_5770545,NotDELETED_Backup_Not_Same_Size,797694206,1543384928
camels_14138800_23736071,NotDELETED_Backup_Not_Same_Size,151064419,184313334
camels_13011900_23123209,NotDELETED_Backup_Not_Same_Size,963718969,1857613574
camels_01195100_6177558,NotDELETED_Backup_Not_Same_Size,715035778,903689573
camels_06632400_15968457,NotDELETED_Backup_Not_Same_Size,292897436,477988998
camels_01439500_4153168,NotDELETED_Backup_Not_Same_Size,720728945,1148421442
camels_05489000_4994047,NotDELETED_Backup_Not_Same_Size,1809510127,1706832020
camels_02177000_6269342,NotDELETED_Backup_Not_Same_Size,1148749624,1567677597
camels_03592718_19582151,NotDELETED_Backup_Not_Same_Size,372272861,234192756
camels_10336660_8941693,KEEP_FOLDER,NA,NA
camels_06746095_2900149,NotDELETED_Backup_Not_Same_Size,130966163,158568051
camels_12451000_23073999,NotDELETED_Backup_Not_Same_Size,1018549445,1969209278
camels_03574500_19621426,NotDELETED_Backup_Not_Same_Size,1191108107,1086096954
camels_11476600_8284190,KEEP_FOLDER,NA,NA
camels_14303200_23876773,NotDELETED_Backup_Not_Same_Size,128093466,142432106
camels_09484600_15894416,NotDELETED_Backup_Not_Same_Size,2251539474,2160553905
camels_01466500_4492036,NotDELETED_Backup_Not_Same_Size,159863265,354658483
camels_01552000_8152257,KEEP_FOLDER,NA,NA
camels_02363000_2210130,NotDELETED_Backup_Not_Same_Size,2448340659,3648574810
camels_03241500_3930910,NotDELETED_Backup_Not_Same_Size,516194493,404396880
camels_01543500_8127609,KEEP_FOLDER,NA,NA
camels_14185000_23785793,NotDELETED_Backup_Not_Same_Size,642861253,1196290690
camels_09505350_20454522,NotDELETED_Backup_Not_Same_Size,294222755,772502170
camels_04057800_11959338,NotDELETED_Backup_Not_Same_Size,441247738,306180547
camels_11473900_8295207,KEEP_FOLDER,NA,NA
camels_02027500_8549853,NotDELETED_Backup_Not_Same_Size,423936877,398583522
camels_09510200_20440676,NotDELETED_Backup_Not_Same_Size,636185011,1152352013
camels_04185000_15662050,NotDELETED_Backup_Not_Same_Size,1910479115,1811832481
camels_05408000_13624991,NotDELETED_Backup_Not_Same_Size,1503504341,1394776736
camels_02149000_12036581,NotDELETED_Backup_Not_Same_Size,558695081,773745981
camels_05488200_4995875,NotDELETED_Backup_Not_Same_Size,601783674,470757490
camels_09352900_17034197,NotDELETED_Backup_Not_Same_Size,558290724,426422924
camels_01557500_4683152,KEEP_FOLDER,NA,NA
camels_01022500_2677104,NotDELETED_Backup_Not_Same_Size,784826041,7591099275
camels_02231000_18260325,NotDELETED_Backup_Not_Same_Size,1710984565,2501590012
camels_06614800_16000378,NotDELETED_Backup_Not_Same_Size,131329466,147635978
camels_01548500_8144622,KEEP_FOLDER,NA,NA
camels_09497980_22440682,NotDELETED_Backup_Not_Same_Size,1190697380,1073728819
camels_12167000_24274653,NotDELETED_Backup_Not_Same_Size,803958067,1527622918
camels_02246000_16658901,NotDELETED_Backup_Not_Same_Size,903879677,1219348389
camels_03500000_19736555,NotDELETED_Backup_Not_Same_Size,951264241,828351593
camels_11523200_8242324,KEEP_FOLDER,NA,NA
camels_05503800_5640210,NotDELETED_Backup_Not_Same_Size,572675884,440297761
camels_06879650_18841318,NotDELETED_Backup_Not_Same_Size,145181111,170021039
camels_08086212_5525607,NotDELETED_Backup_Not_Same_Size,1452813980,2928514874
camels_11522500_8261865,KEEP_FOLDER,NA,NA
camels_05501000_2925495,NotDELETED_Backup_Not_Same_Size,2042998960,1948418005
camels_01350000_3247466,NotDELETED_Backup_Not_Same_Size,599010008,2077439827
camels_02111500_9250814,NotDELETED_Backup_Not_Same_Size,670911478,1014552430
camels_01350140_3247552,NotDELETED_Backup_Not_Same_Size,266227855,152104367
camels_02427250_21457950,NotDELETED_Backup_Not_Same_Size,1198215166,1620237163
camels_04105700_3473077,NotDELETED_Backup_Not_Same_Size,329326414,191227695
camels_11480390_8320019,KEEP_FOLDER,NA,NA
camels_08013000_15085941,KEEP_FOLDER,NA,NA
camels_09430600_2430436,NotDELETED_Backup_Not_Same_Size,491176227,357635938
camels_12073500_23989205,NotDELETED_Backup_Not_Same_Size,133995561,148333590
